# darwin.no-hidden-gauge-fixing.blind-inputs.v1.2
# format: vector-id|vertexCount,edgeMask,parityMask,anchorMask,anchorValueMask
# expected values are committed by hash in the manifest and omitted here
cgb12-0005|2,1,0,2,0
cgb12-0007|2,1,0,3,0
cgb12-0008|2,1,0,3,1
cgb12-0015|2,1,1,2,2
cgb12-0016|2,1,1,3,0
cgb12-0017|2,1,1,3,1
cgb12-0021|3,33,0,2,0
cgb12-0022|3,33,0,2,2
cgb12-0025|3,33,0,4,0
cgb12-0026|3,33,0,5,1
cgb12-0028|3,33,0,6,2
cgb12-0032|3,33,1,2,2
cgb12-0041|3,33,1,7,3
cgb12-0042|3,33,32,0,0
cgb12-0053|3,33,33,2,0
cgb12-0054|3,33,33,2,2
cgb12-0058|3,33,33,6,6
cgb12-0059|4,545,0,0,0
cgb12-0060|4,545,0,12,4
cgb12-0061|4,545,0,13,12
cgb12-0075|4,545,1,8,8
cgb12-0077|4,545,32,10,2
cgb12-0078|4,545,32,12,12
cgb12-0080|4,545,32,14,10
cgb12-0086|4,545,32,7,5
cgb12-0087|4,545,32,8,8
cgb12-0089|4,545,33,11,9
cgb12-0090|4,545,33,14,10
cgb12-0091|4,545,33,3,1
cgb12-0093|4,545,33,5,4
cgb12-0095|4,545,512,1,0
cgb12-0096|4,545,512,14,10
cgb12-0098|4,545,512,2,2
cgb12-0103|4,545,513,10,10
cgb12-0112|4,545,544,7,0
cgb12-0122|5,4641,32,21,4
cgb12-0132|5,4641,4128,10,10
cgb12-0135|5,4641,4128,17,0
cgb12-0146|5,4641,4609,25,0
cgb12-0155|5,4641,4641,16,0
cgb12-0160|5,4641,512,1,0
cgb12-0163|5,4641,512,9,9
cgb12-0168|5,4641,544,16,16
cgb12-0177|6,21025,0,26,26
cgb12-0187|6,21025,16416,52,16
cgb12-0192|6,21025,16417,48,32
cgb12-0193|6,21025,16417,50,32
cgb12-0194|6,21025,16896,1,0
cgb12-0196|6,21025,16896,47,1
cgb12-0198|6,21025,16897,10,0
cgb12-0200|6,21025,16928,16,16
cgb12-0210|6,21025,20480,51,16
cgb12-0211|6,21025,20481,6,2
cgb12-0215|6,21025,20513,63,48
cgb12-0220|6,21025,20992,48,48
cgb12-0223|6,21025,20993,38,0
cgb12-0225|6,21025,21024,39,35
cgb12-0230|6,21025,32,22,6
cgb12-0231|6,21025,33,32,0
cgb12-0235|6,21025,4097,17,17
cgb12-0245|6,21025,4609,61,13
cgb12-0246|6,21025,4609,61,41
cgb12-0247|6,21025,4640,17,17
cgb12-0254|6,21025,545,11,2
cgb12-0258|3,35,0,3,0
cgb12-0259|3,35,0,3,1
cgb12-0261|3,35,0,5,4
cgb12-0263|3,35,1,0,0
cgb12-0267|3,35,1,3,1
cgb12-0268|3,35,1,5,0
cgb12-0270|3,35,2,0,0
cgb12-0276|3,35,3,0,0
cgb12-0282|3,35,3,5,4
cgb12-0296|3,35,34,0,0
cgb12-0299|3,35,34,2,0
cgb12-0303|3,35,34,6,0
cgb12-0305|3,35,35,3,0
cgb12-0309|3,35,35,4,4
cgb12-0310|3,35,35,5,5
cgb12-0311|3,35,35,7,0
cgb12-0312|3,35,35,7,1
cgb12-0313|4,549,0,0,0
cgb12-0320|4,549,1,1,1
cgb12-0326|4,549,36,1,1
cgb12-0330|4,549,36,5,5
cgb12-0335|4,549,37,4,4
cgb12-0339|4,549,4,12,4
cgb12-0342|4,549,5,10,10
cgb12-0346|4,549,512,10,10
cgb12-0348|4,549,512,13,13
cgb12-0350|4,549,512,4,4
cgb12-0367|4,549,544,14,10
cgb12-0375|4,549,548,15,7
cgb12-0377|4,549,548,7,3
cgb12-0386|5,4649,1,25,0
cgb12-0387|5,4649,1,30,26
cgb12-0394|5,4649,33,0,0
cgb12-0406|5,4649,4105,0,0
cgb12-0420|5,4649,4617,10,8
cgb12-0422|5,4649,4648,12,4
cgb12-0426|5,4649,513,11,2
cgb12-0428|5,4649,521,11,1
cgb12-0432|5,4649,545,22,16
cgb12-0440|5,4649,9,30,16
cgb12-0442|6,21041,16,41,1
cgb12-0445|6,21041,16401,29,1
cgb12-0446|6,21041,16401,55,2
cgb12-0450|6,21041,16433,1,0
cgb12-0455|6,21041,16928,22,6
cgb12-0457|6,21041,16929,54,50
cgb12-0459|6,21041,16944,2,2
cgb12-0464|6,21041,17,51,17
cgb12-0465|6,21041,20481,24,24
cgb12-0466|6,21041,20481,26,8
cgb12-0476|6,21041,21025,10,2
